Date,PM2.5,AQI,AQI-Bucket
2019-01-1,24.1,,
1,24.1,76.0,Moderate
2019-01-2,14.8,,
2,14.8,57.0,Moderate
2019-01-3,14.8,,
3,14.8,57.0,Moderate
2019-01-4,18.3,,
4,18.3,64.0,Moderate
2019-01-5,35.2,,
5,35.2,100.0,Moderate
2019-01-6,27.8,,
6,27.8,84.0,Moderate
2019-01-7,64.4,,
7,64.4,156.0,Unhealthy
2019-01-8,14.8,,
8,14.8,57.0,Moderate
2019-01-9,18.3,,
9,18.3,64.0,Moderate
2019-01-10,22.2,,
10,22.2,72.0,Moderate
2019-01-11,25.9,,
11,25.9,80.0,Moderate
2019-01-12,18.3,,
12,18.3,64.0,Moderate
2019-01-13,40.7,,
13,40.7,114.0,Unhealthy for Sensitive Groups
2019-01-14,42.4,,
14,42.4,118.0,Unhealthy for Sensitive Groups
2019-01-15,16.5,,
15,16.5,60.0,Moderate
2019-01-16,24.1,,
16,24.1,76.0,Moderate
2019-01-17,38.9,,
17,38.9,109.0,Unhealthy for Sensitive Groups
2019-01-18,14.8,,
18,14.8,57.0,Moderate
2019-01-19,13,,
19,13.0,53.0,Moderate
2019-01-20,24.1,,
20,24.1,76.0,Moderate
2019-01-21,25.9,,
21,25.9,80.0,Moderate
2019-01-22,16.5,,
22,16.5,60.0,Moderate
2019-01-23,22.2,,
23,22.2,72.0,Moderate
2019-01-24,24.1,,
24,24.1,76.0,Moderate
2019-01-25,11.1,,
25,11.1,46.0,Good
2019-01-26,20.6,,
26,20.6,69.0,Moderate
2019-01-27,22.2,,
27,22.2,72.0,Moderate
2019-01-28,18.3,,
28,18.3,64.0,Moderate
2019-01-29,18.3,,
29,18.3,64.0,Moderate
2019-01-30,27.8,,
30,27.8,84.0,Moderate
2019-01-31,20.6,,
31,20.6,69.0,Moderate
2019-01-,23.9,,
,23.9,76.0,Moderate
2019-02-1,33.5,,
1,33.5,96.0,Moderate
2019-02-2,27.8,,
2,27.8,84.0,Moderate
2019-02-3,29.4,,
3,29.4,87.0,Moderate
2019-02-4,27.8,,
4,27.8,84.0,Moderate
2019-02-5,24.1,,
5,24.1,76.0,Moderate
2019-02-6,37,,
6,37.0,105.0,Unhealthy for Sensitive Groups
2019-02-7,33.5,,
7,33.5,96.0,Moderate
2019-02-8,27.8,,
8,27.8,84.0,Moderate
2019-02-9,22.2,,
9,22.2,72.0,Moderate
2019-02-10,16.5,,
10,16.5,60.0,Moderate
2019-02-11,29.4,,
11,29.4,87.0,Moderate
2019-02-12,42.4,,
12,42.4,118.0,Unhealthy for Sensitive Groups
2019-02-13,37,,
13,37.0,105.0,Unhealthy for Sensitive Groups
2019-02-14,22.2,,
14,22.2,72.0,Moderate
2019-02-15,20.6,,
15,20.6,69.0,Moderate
2019-02-16,16.5,,
16,16.5,60.0,Moderate
2019-02-17,24.1,,
17,24.1,76.0,Moderate
2019-02-18,35.2,,
18,35.2,100.0,Moderate
2019-02-19,25.9,,
19,25.9,80.0,Moderate
2019-02-20,33.5,,
20,33.5,96.0,Moderate
2019-02-21,24.1,,
21,24.1,76.0,Moderate
2019-02-22,16.5,,
22,16.5,60.0,Moderate
2019-02-23,29.4,,
23,29.4,87.0,Moderate
2019-02-24,18.3,,
24,18.3,64.0,Moderate
2019-02-25,20.6,,
25,20.6,69.0,Moderate
2019-02-26,24.1,,
26,24.1,76.0,Moderate
2019-02-27,24.1,,
27,24.1,76.0,Moderate
2019-02-28,18.3,,
28,18.3,64.0,Moderate
2019-02-,26.5,,
,26.5,81.0,Moderate
2019-03-1,18.3,,
1,18.3,64.0,Moderate
2019-03-2,38.9,,
2,38.9,109.0,Unhealthy for Sensitive Groups
2019-03-3,29.4,,
3,29.4,87.0,Moderate
2019-03-4,20.6,,
4,20.6,69.0,Moderate
2019-03-5,24.1,,
5,24.1,76.0,Moderate
2019-03-6,22.2,,
6,22.2,72.0,Moderate
2019-03-7,25.9,,
7,25.9,80.0,Moderate
2019-03-8,24.1,,
8,24.1,76.0,Moderate
2019-03-9,22.2,,
9,22.2,72.0,Moderate
2019-03-10,27.8,,
10,27.8,84.0,Moderate
2019-03-11,22.2,,
11,22.2,72.0,Moderate
2019-03-12,24.1,,
12,24.1,76.0,Moderate
2019-03-13,20.6,,
13,20.6,69.0,Moderate
2019-03-14,25.9,,
14,25.9,80.0,Moderate
2019-03-15,25.9,,
15,25.9,80.0,Moderate
2019-03-16,22.2,,
16,22.2,72.0,Moderate
2019-03-17,18.3,,
17,18.3,64.0,Moderate
2019-03-18,29.4,,
18,29.4,87.0,Moderate
2019-03-19,33.5,,
19,33.5,96.0,Moderate
2019-03-20,22.2,,
20,22.2,72.0,Moderate
2019-03-21,20.6,,
21,20.6,69.0,Moderate
2019-03-22,18.3,,
22,18.3,64.0,Moderate
2019-03-23,22.2,,
23,22.2,72.0,Moderate
2019-03-24,22.2,,
24,22.2,72.0,Moderate
2019-03-25,20.6,,
25,20.6,69.0,Moderate
2019-03-26,22.2,,
26,22.2,72.0,Moderate
2019-03-27,29.4,,
27,29.4,87.0,Moderate
2019-03-28,25.9,,
28,25.9,80.0,Moderate
2019-03-29,29.4,,
29,29.4,87.0,Moderate
2019-03-30,22.2,,
30,22.2,72.0,Moderate
2019-03-31,24.1,,
31,24.1,76.0,Moderate
2019-03-,24.4,,
,24.4,77.0,Moderate
2019-04-1,22.2,,
1,22.2,72.0,Moderate
2019-04-2,22.2,,
2,22.2,72.0,Moderate
2019-04-3,24.1,,
3,24.1,76.0,Moderate
2019-04-4,25.9,,
4,25.9,80.0,Moderate
2019-04-5,27.8,,
5,27.8,84.0,Moderate
2019-04-6,24.1,,
6,24.1,76.0,Moderate
2019-04-7,24.1,,
7,24.1,76.0,Moderate
2019-04-8,35.2,,
8,35.2,100.0,Moderate
2019-04-9,27.8,,
9,27.8,84.0,Moderate
2019-04-10,22.2,,
10,22.2,72.0,Moderate
2019-04-11,22.2,,
11,22.2,72.0,Moderate
2019-04-12,24.1,,
12,24.1,76.0,Moderate
2019-04-13,22.2,,
13,22.2,72.0,Moderate
2019-04-14,55.4,,
14,55.4,150.0,Unhealthy for Sensitive Groups
2019-04-15,61.1,,
15,61.1,154.0,Unhealthy
2019-04-16,40.7,,
16,40.7,114.0,Unhealthy for Sensitive Groups
2019-04-17,25.9,,
17,25.9,80.0,Moderate
2019-04-18,24.1,,
18,24.1,76.0,Moderate
2019-04-19,22.2,,
19,22.2,72.0,Moderate
2019-04-20,27.8,,
20,27.8,84.0,Moderate
2019-04-21,25.9,,
21,25.9,80.0,Moderate
2019-04-22,25.9,,
22,25.9,80.0,Moderate
2019-04-23,29.4,,
23,29.4,87.0,Moderate
2019-04-24,27.8,,
24,27.8,84.0,Moderate
2019-04-25,25.9,,
25,25.9,80.0,Moderate
2019-04-26,22.2,,
26,22.2,72.0,Moderate
2019-04-27,25.9,,
27,25.9,80.0,Moderate
2019-04-28,27.8,,
28,27.8,84.0,Moderate
2019-04-29,35.2,,
29,35.2,100.0,Moderate
2019-04-30,29.4,,
30,29.4,87.0,Moderate
2019-04-,28.6,,
,28.6,86.0,Moderate
2019-05-1,25.9,,
1,25.9,80.0,Moderate
2019-05-2,22.2,,
2,22.2,72.0,Moderate
2019-05-3,33.5,,
3,33.5,96.0,Moderate
2019-05-4,22.2,,
4,22.2,72.0,Moderate
2019-05-5,24.1,,
5,24.1,76.0,Moderate
2019-05-6,29.4,,
6,29.4,87.0,Moderate
2019-05-7,33.5,,
7,33.5,96.0,Moderate
2019-05-8,37,,
8,37.0,105.0,Unhealthy for Sensitive Groups
2019-05-9,35.2,,
9,35.2,100.0,Moderate
2019-05-10,35.2,,
10,35.2,100.0,Moderate
2019-05-11,33.5,,
11,33.5,96.0,Moderate
2019-05-12,24.1,,
12,24.1,76.0,Moderate
2019-05-13,29.4,,
13,29.4,87.0,Moderate
2019-05-14,27.8,,
14,27.8,84.0,Moderate
