Date,PM2.5,AQI,AQI-Bucket
2016-01-1,16.5,,
1,16.5,60.0,Moderate
2016-01-2,13,,
2,13.0,53.0,Moderate
2016-01-3,16.5,,
3,16.5,60.0,Moderate
2016-01-4,18.3,,
4,18.3,64.0,Moderate
2016-01-5,20.6,,
5,20.6,69.0,Moderate
2016-01-6,16.5,,
6,16.5,60.0,Moderate
2016-01-7,18.3,,
7,18.3,64.0,Moderate
2016-01-8,18,,
8,18.0,63.0,Moderate
2016-01-9,22.2,,
9,22.2,72.0,Moderate
2016-01-10,24.1,,
10,24.1,76.0,Moderate
2016-01-11,29.4,,
11,29.4,87.0,Moderate
2016-01-12,20.6,,
12,20.6,69.0,Moderate
2016-01-13,31.7,,
13,31.7,92.0,Moderate
2016-01-14,18.3,,
14,18.3,64.0,Moderate
2016-01-15,20.6,,
15,20.6,69.0,Moderate
2016-01-16,18.3,,
16,18.3,64.0,Moderate
2016-01-17,18.3,,
17,18.3,64.0,Moderate
2016-01-18,33.5,,
18,33.5,96.0,Moderate
2016-01-19,21.7,,
19,21.7,71.0,Moderate
2016-01-20,53.9,,
20,53.9,146.0,Unhealthy for Sensitive Groups
2016-01-21,18.3,,
21,18.3,64.0,Moderate
2016-01-22,22.2,,
22,22.2,72.0,Moderate
2016-01-23,16.5,,
23,16.5,60.0,Moderate
2016-01-24,16.5,,
24,16.5,60.0,Moderate
2016-01-25,14.8,,
25,14.8,57.0,Moderate
2016-01-26,25.2,,
26,25.2,79.0,Moderate
2016-01-27,18.3,,
27,18.3,64.0,Moderate
2016-01-28,20.6,,
28,20.6,69.0,Moderate
2016-01-29,28.7,,
29,28.7,86.0,Moderate
2016-01-30,29.4,,
30,29.4,87.0,Moderate
2016-01-31,16.5,,
31,16.5,60.0,Moderate
2016-01-,21.8,,
,21.8,71.0,Moderate
2016-02-1,18.3,,
1,18.3,64.0,Moderate
2016-02-2,18.3,,
2,18.3,64.0,Moderate
2016-02-3,21.7,,
3,21.7,71.0,Moderate
2016-02-4,18.3,,
4,18.3,64.0,Moderate
2016-02-5,14.8,,
5,14.8,57.0,Moderate
2016-02-6,24.1,,
6,24.1,76.0,Moderate
2016-02-7,18.3,,
7,18.3,64.0,Moderate
2016-02-8,16.5,,
8,16.5,60.0,Moderate
2016-02-9,21.7,,
9,21.7,71.0,Moderate
2016-02-10,32.4,,
10,32.4,94.0,Moderate
2016-02-11,22.2,,
11,22.2,72.0,Moderate
2016-02-12,24.1,,
12,24.1,76.0,Moderate
2016-02-13,18.3,,
13,18.3,64.0,Moderate
2016-02-14,18.3,,
14,18.3,64.0,Moderate
2016-02-15,18.3,,
15,18.3,64.0,Moderate
2016-02-16,37,,
16,37.0,105.0,Unhealthy for Sensitive Groups
2016-02-17,53.5,,
17,53.5,145.0,Unhealthy for Sensitive Groups
2016-02-18,59.4,,
18,59.4,153.0,Unhealthy
2016-02-19,20.6,,
19,20.6,69.0,Moderate
2016-02-20,18.3,,
20,18.3,64.0,Moderate
2016-02-21,18.3,,
21,18.3,64.0,Moderate
2016-02-22,22.2,,
22,22.2,72.0,Moderate
2016-02-23,22.2,,
23,22.2,72.0,Moderate
2016-02-24,16.5,,
24,16.5,60.0,Moderate
2016-02-25,21.7,,
25,21.7,71.0,Moderate
2016-02-26,22.2,,
26,22.2,72.0,Moderate
2016-02-27,18.3,,
27,18.3,64.0,Moderate
2016-02-28,14.8,,
28,14.8,57.0,Moderate
2016-02-29,16.5,,
29,16.5,60.0,Moderate
2016-02-,23,,
,23.0,74.0,Moderate
2016-03-1,31.7,,
1,31.7,92.0,Moderate
2016-03-2,57.6,,
2,57.6,152.0,Unhealthy
2016-03-3,24.1,,
3,24.1,76.0,Moderate
2016-03-4,27.8,,
4,27.8,84.0,Moderate
2016-03-5,22.2,,
5,22.2,72.0,Moderate
2016-03-6,22.2,,
6,22.2,72.0,Moderate
2016-03-7,27.8,,
7,27.8,84.0,Moderate
2016-03-8,22.2,,
8,22.2,72.0,Moderate
2016-03-9,32.4,,
9,32.4,94.0,Moderate
2016-03-10,28.7,,
10,28.7,86.0,Moderate
2016-03-11,35.2,,
11,35.2,100.0,Moderate
2016-03-12,27.8,,
12,27.8,84.0,Moderate
2016-03-13,25.2,,
13,25.2,79.0,Moderate
2016-03-14,22.2,,
14,22.2,72.0,Moderate
2016-03-15,24.1,,
