Date,PM2.5,AQI,AQI-Bucket
2018-01-1,16.5,,
1,16.5,60.0,Moderate
2018-01-2,14.8,,
2,14.8,57.0,Moderate
2018-01-3,25.9,,
3,25.9,80.0,Moderate
2018-01-4,25.9,,
4,25.9,80.0,Moderate
2018-01-5,20.6,,
5,20.6,69.0,Moderate
2018-01-6,24.1,,
6,24.1,76.0,Moderate
2018-01-7,13,,
7,13.0,53.0,Moderate
2018-01-8,14.8,,
8,14.8,57.0,Moderate
2018-01-9,27.8,,
9,27.8,84.0,Moderate
2018-01-10,33.5,,
10,33.5,96.0,Moderate
2018-01-11,25.9,,
11,25.9,80.0,Moderate
2018-01-12,14.8,,
12,14.8,57.0,Moderate
2018-01-13,11.1,,
13,11.1,46.0,Good
2018-01-14,16.5,,
14,16.5,60.0,Moderate
2018-01-15,16.5,,
15,16.5,60.0,Moderate
2018-01-16,29.4,,
16,29.4,87.0,Moderate
2018-01-17,16.5,,
17,16.5,60.0,Moderate
2018-01-18,36.7,,
18,36.7,104.0,Unhealthy for Sensitive Groups
2018-01-19,14.8,,
19,14.8,57.0,Moderate
2018-01-20,18.3,,
20,18.3,64.0,Moderate
2018-01-21,22.2,,
21,22.2,72.0,Moderate
2018-01-22,22.2,,
22,22.2,72.0,Moderate
2018-01-23,18.3,,
23,18.3,64.0,Moderate
2018-01-24,21.9,,
24,21.9,72.0,Moderate
2018-01-25,22.2,,
25,22.2,72.0,Moderate
2018-01-26,16.5,,
26,16.5,60.0,Moderate
2018-01-27,20.6,,
27,20.6,69.0,Moderate
2018-01-28,18.3,,
28,18.3,64.0,Moderate
2018-01-29,14.8,,
29,14.8,57.0,Moderate
2018-01-30,28.7,,
30,28.7,86.0,Moderate
2018-01-31,22.2,,
31,22.2,72.0,Moderate
2018-01-,20.8,,
,20.8,69.0,Moderate
2018-02-1,14.8,,
1,14.8,57.0,Moderate
2018-02-2,24.1,,
2,24.1,76.0,Moderate
2018-02-3,18.3,,
3,18.3,64.0,Moderate
2018-02-4,24.1,,
4,24.1,76.0,Moderate
2018-02-5,20.6,,
5,20.6,69.0,Moderate
2018-02-6,18.3,,
6,18.3,64.0,Moderate
2018-02-7,25.9,,
7,25.9,80.0,Moderate
2018-02-8,22.2,,
8,22.2,72.0,Moderate
2018-02-9,22.2,,
9,22.2,72.0,Moderate
2018-02-10,18.3,,
10,18.3,64.0,Moderate
2018-02-11,20.6,,
11,20.6,69.0,Moderate
2018-02-12,25.9,,
12,25.9,80.0,Moderate
2018-02-13,22.2,,
13,22.2,72.0,Moderate
2018-02-14,25.9,,
14,25.9,80.0,Moderate
2018-02-15,14.8,,
15,14.8,57.0,Moderate
2018-02-16,20.6,,
16,20.6,69.0,Moderate
2018-02-17,29.4,,
17,29.4,87.0,Moderate
2018-02-18,24.1,,
18,24.1,76.0,Moderate
2018-02-19,22.2,,
19,22.2,72.0,Moderate
2018-02-20,20.6,,
20,20.6,69.0,Moderate
2018-02-21,24.1,,
21,24.1,76.0,Moderate
2018-02-22,20.6,,
22,20.6,69.0,Moderate
2018-02-23,27.8,,
23,27.8,84.0,Moderate
2018-02-24,25.9,,
24,25.9,80.0,Moderate
2018-02-25,40.7,,
25,40.7,114.0,Unhealthy for Sensitive Groups
2018-02-26,22.2,,
26,22.2,72.0,Moderate
2018-02-27,22.2,,
27,22.2,72.0,Moderate
2018-02-28,27.8,,
28,27.8,84.0,Moderate
2018-02-,23.1,,
,23.1,74.0,Moderate
2018-03-1,22.2,,
1,22.2,72.0,Moderate
2018-03-2,27.8,,
2,27.8,84.0,Moderate
2018-03-3,22.2,,
3,22.2,72.0,Moderate
2018-03-4,18.3,,
4,18.3,64.0,Moderate
2018-03-5,18.3,,
5,18.3,64.0,Moderate
2018-03-6,25.9,,
6,25.9,80.0,Moderate
2018-03-7,20.6,,
7,20.6,69.0,Moderate
2018-03-8,22.2,,
8,22.2,72.0,Moderate
2018-03-9,27.8,,
9,27.8,84.0,Moderate
2018-03-10,22.2,,
10,22.2,72.0,Moderate
2018-03-11,22.2,,
11,22.2,72.0,Moderate
2018-03-12,22.2,,
12,22.2,72.0,Moderate
2018-03-13,35.2,,
13,35.2,100.0,Moderate
2018-03-14,38.9,,
14,38.9,109.0,Unhealthy for Sensitive Groups
2018-03-15,25.9,,
15,25.9,80.0,Moderate
2018-03-16,25.9,,
16,25.9,80.0,Moderate
2018-03-17,27.8,,
17,27.8,84.0,Moderate
2018-03-18,27.8,,
18,27.8,84.0,Moderate
2018-03-19,25.9,,
19,25.9,80.0,Moderate
2018-03-20,29.4,,
20,29.4,87.0,Moderate
2018-03-21,25.9,,
21,25.9,80.0,Moderate
2018-03-22,18.3,,
22,18.3,64.0,Moderate
2018-03-23,24.1,,
23,24.1,76.0,Moderate
2018-03-24,25.9,,
24,25.9,80.0,Moderate
2018-03-25,18.3,,
25,18.3,64.0,Moderate
2018-03-26,25.9,,
26,25.9,80.0,Moderate
2018-03-27,29.4,,
27,29.4,87.0,Moderate
2018-03-28,22.2,,
28,22.2,72.0,Moderate
2018-03-29,25.9,,
29,25.9,80.0,Moderate
2018-03-30,31.7,,
30,31.7,92.0,Moderate
2018-03-31,29.4,,
31,29.4,87.0,Moderate
2018-03-,25.3,,
,25.3,79.0,Moderate
2018-04-1,25.9,,
1,25.9,80.0,Moderate
2018-04-2,25.9,,
2,25.9,80.0,Moderate
2018-04-3,25.9,,
3,25.9,80.0,Moderate
2018-04-4,27.8,,
4,27.8,84.0,Moderate
2018-04-5,25.9,,
5,25.9,80.0,Moderate
2018-04-6,24.1,,
6,24.1,76.0,Moderate
2018-04-7,22.2,,
7,22.2,72.0,Moderate
2018-04-8,25.9,,
8,25.9,80.0,Moderate
2018-04-9,22.2,,
9,22.2,72.0,Moderate
2018-04-10,24.1,,
10,24.1,76.0,Moderate
2018-04-11,22.2,,
11,22.2,72.0,Moderate
2018-04-12,25.9,,
12,25.9,80.0,Moderate
2018-04-13,24.1,,
13,24.1,76.0,Moderate
2018-04-14,24.1,,
14,24.1,76.0,Moderate
2018-04-15,27.8,,
15,27.8,84.0,Moderate
2018-04-16,27.8,,
16,27.8,84.0,Moderate
2018-04-17,33.5,,
17,33.5,96.0,Moderate
2018-04-18,25.9,,
18,25.9,80.0,Moderate
2018-04-19,29.4,,
19,29.4,87.0,Moderate
2018-04-20,33.5,,
20,33.5,96.0,Moderate
2018-04-21,33.5,,
21,33.5,96.0,Moderate
2018-04-22,22.2,,
22,22.2,72.0,Moderate
2018-04-23,25.9,,
23,25.9,80.0,Moderate
2018-04-24,35.2,,
24,35.2,100.0,Moderate
2018-04-25,37,,
25,37.0,105.0,Unhealthy for Sensitive Groups
2018-04-26,25.9,,
26,25.9,80.0,Moderate
2018-04-27,25.9,,
27,25.9,80.0,Moderate
2018-04-28,27.8,,
28,27.8,84.0,Moderate
2018-04-29,25.9,,
29,25.9,80.0,Moderate
2018-04-30,37,,
30,37.0,105.0,Unhealthy for Sensitive Groups
2018-04-,27.3,,
,27.3,83.0,Moderate
2018-05-1,33.5,,
1,33.5,96.0,Moderate
2018-05-2,33.5,,
2,33.5,96.0,Moderate
2018-05-3,22.2,,
3,22.2,72.0,Moderate
2018-05-4,29.4,,
4,29.4,87.0,Moderate
2018-05-5,37,,
5,37.0,105.0,Unhealthy for Sensitive Groups
