Date,PM2.5
2017-01-1,22.2
2017-01-2,18.3
2017-01-3,14.8
2017-01-4,20.6
2017-01-5,22.2
2017-01-6,31.7
2017-01-7,33.5
2017-01-8,27.8
2017-01-9,27.8
2017-01-10,18.3
2017-01-11,14.8
2017-01-12,20.6
2017-01-13,25.9
2017-01-14,37
2017-01-15,33.5
2017-01-16,14.8
2017-01-17,22.2
2017-01-18,25.9
2017-01-19,48.2
2017-01-20,40.7
2017-01-21,22.2
2017-01-22,16.5
2017-01-23,35.2
2017-01-24,31.7
2017-01-25,29.4
2017-01-26,18.3
2017-01-27,16.5
2017-01-28,14.8
2017-01-29,14.8
2017-01-30,25.6
2017-01-31,16.5
2017-01-,24.6
2017-02-1,13
2017-02-2,18.3
2017-02-3,29.4
2017-02-4,50
2017-02-5,29.4
2017-02-6,20.6
2017-02-7,18.3
2017-02-8,20.6
2017-02-9,18.3
2017-02-10,18.3
2017-02-11,14.8
2017-02-12,35.9
2017-02-13,42.4
2017-02-14,29.4
2017-02-15,18.3
2017-02-16,20.6
2017-02-17,14.8
2017-02-18,18.3
2017-02-19,37
2017-02-20,33.5
2017-02-21,22.2
2017-02-22,18.3
2017-02-23,18.3
2017-02-24,20.6
2017-02-25,21.9
2017-02-26,20.6
2017-02-27,18.3
2017-02-28,18.3
2017-02-,23.6
2017-03-1,27.8
2017-03-2,18.3
2017-03-3,22.2
2017-03-4,22.2
2017-03-5,24.1
2017-03-6,27.8
2017-03-7,27.8
2017-03-8,21.9
2017-03-9,25.9
2017-03-10,46.5
2017-03-11,47.8
2017-03-12,18.3
2017-03-13,20.6
2017-03-14,14.8
2017-03-15,16.5
2017-03-16,20.6
2017-03-17,29.4
2017-03-18,33.5
2017-03-19,18.3
2017-03-20,21.9
2017-03-21,25.9
2017-03-22,29.4
2017-03-23,24.1
2017-03-24,29.4
2017-03-25,25.9
2017-03-26,25.9
2017-03-27,22.2
2017-03-28,25.9
2017-03-29,22.2
2017-03-30,29.4
2017-03-31,24.1
2017-03-,25.5
2017-04-1,21.9
2017-04-2,22.2
2017-04-3,29.4
2017-04-4,18.3
2017-04-5,35.2
2017-04-6,33.5
2017-04-7,29.4
2017-04-8,22.2
2017-04-9,18.3
2017-04-10,20.6
2017-04-11,21.9
2017-04-12,22.2
2017-04-13,24.1
2017-04-14,29.4
2017-04-15,29.4
2017-04-16,24.1
2017-04-17,33.2
2017-04-18,33.2
2017-04-19,37
2017-04-20,40.7
2017-04-21,24.1
2017-04-22,25.9
2017-04-23,25.9
2017-04-24,25.6
2017-04-25,25.9
2017-04-26,29.4
2017-04-27,29.4
2017-04-28,27.8
2017-04-29,25.6
2017-04-30,29.4
2017-04-,27.2
2017-05-1,25.9
2017-05-2,25.9
2017-05-3,22.2
2017-05-4,33.5
2017-05-5,27.8
2017-05-6,25.6
2017-05-7,29.4
2017-05-8,27.8
2017-05-9,33.5
2017-05-10,29.4
2017-05-11,25.9
2017-05-12,22.2
2017-05-13,25.9
2017-05-14,35.2
2017-05-15,31.7
