Date,PM2.5
2018-01-1,16.5
2018-01-2,14.8
2018-01-3,25.9
2018-01-4,25.9
2018-01-5,20.6
2018-01-6,24.1
2018-01-7,13
2018-01-8,14.8
2018-01-9,27.8
2018-01-10,33.5
2018-01-11,25.9
2018-01-12,14.8
2018-01-13,11.1
2018-01-14,16.5
2018-01-15,16.5
2018-01-16,29.4
2018-01-17,16.5
2018-01-18,36.7
2018-01-19,14.8
2018-01-20,18.3
2018-01-21,22.2
2018-01-22,22.2
2018-01-23,18.3
2018-01-24,21.9
2018-01-25,22.2
2018-01-26,16.5
2018-01-27,20.6
2018-01-28,18.3
2018-01-29,14.8
2018-01-30,28.7
2018-01-31,22.2
2018-01-,20.8
2018-02-1,14.8
2018-02-2,24.1
2018-02-3,18.3
2018-02-4,24.1
2018-02-5,20.6
2018-02-6,18.3
2018-02-7,25.9
2018-02-8,22.2
2018-02-9,22.2
2018-02-10,18.3
2018-02-11,20.6
2018-02-12,25.9
2018-02-13,22.2
2018-02-14,25.9
2018-02-15,14.8
2018-02-16,20.6
2018-02-17,29.4
2018-02-18,24.1
2018-02-19,22.2
2018-02-20,20.6
2018-02-21,24.1
2018-02-22,20.6
2018-02-23,27.8
2018-02-24,25.9
2018-02-25,40.7
2018-02-26,22.2
2018-02-27,22.2
2018-02-28,27.8
2018-02-,23.1
2018-03-1,22.2
2018-03-2,27.8
2018-03-3,22.2
2018-03-4,18.3
2018-03-5,18.3
2018-03-6,25.9
2018-03-7,20.6
2018-03-8,22.2
2018-03-9,27.8
2018-03-10,22.2
2018-03-11,22.2
2018-03-12,22.2
2018-03-13,35.2
2018-03-14,38.9
2018-03-15,25.9
2018-03-16,25.9
2018-03-17,27.8
2018-03-18,27.8
2018-03-19,25.9
2018-03-20,29.4
2018-03-21,25.9
2018-03-22,18.3
2018-03-23,24.1
2018-03-24,25.9
2018-03-25,18.3
2018-03-26,25.9
2018-03-27,29.4
2018-03-28,22.2
2018-03-29,25.9
2018-03-30,31.7
2018-03-31,29.4
2018-03-,25.3
2018-04-1,25.9
2018-04-2,25.9
2018-04-3,25.9
2018-04-4,27.8
2018-04-5,25.9
2018-04-6,24.1
2018-04-7,22.2
2018-04-8,25.9
2018-04-9,22.2
2018-04-10,24.1
2018-04-11,22.2
2018-04-12,25.9
2018-04-13,24.1
2018-04-14,24.1
2018-04-15,27.8
2018-04-16,27.8
2018-04-17,33.5
2018-04-18,25.9
2018-04-19,29.4
2018-04-20,33.5
2018-04-21,33.5
2018-04-22,22.2
2018-04-23,25.9
2018-04-24,35.2
2018-04-25,37
2018-04-26,25.9
2018-04-27,25.9
2018-04-28,27.8
2018-04-29,25.9
2018-04-30,37
2018-04-,27.3
2018-05-1,33.5
2018-05-2,33.5
2018-05-3,22.2
2018-05-4,29.4
2018-05-5,37
2018-05-6,29.4
2018-05-7,29.4
2018-05-8,29.4
2018-05-9,25.9
2018-05-10,27.8
2018-05-11,25.9
2018-05-12,29.4
2018-05-13,37
2018-05-14,33.5
2018-05-15,35.2
2018-05-16,33.5
2018-05-17,31.7
2018-05-18,29.4
2018-05-19,31.7
2018-05-20,35.2
2018-05-21,35.2
2018-05-22,27.8
2018-05-23,25.9
2018-05-24,29.4
2018-05-25,39.6
2018-05-26,37
2018-05-27,33.5
2018-05-28,31.7
2018-05-29,33.5
2018-05-30,29.4
2018-05-31,24.1
2018-05-,31.2
2018-06-1,22.2
2018-06-2,25.9
2018-06-3,37
2018-06-4,46.5
2018-06-5,33.5
2018-06-6,38.9
2018-06-7,48.2
2018-06-8,27.8
2018-06-9,27.8
2018-06-10,27.8
2018-06-11,33.5
2018-06-12,35.2
2018-06-13,35.2
2018-06-14,46.5
2018-06-15,35.2
2018-06-16,37
2018-06-17,37
2018-06-18,29.4
2018-06-19,27.8
2018-06-20,31.7
2018-06-21,25.9
2018-06-22,24.1
2018-06-23,27.8
2018-06-24,40.7
2018-06-25,29.4
2018-06-26,29.4
2018-06-27,24.1
2018-06-28,35.2
2018-06-29,27.8
2018-06-30,25.9
2018-06-,32.5
2018-07-1,24.1
2018-07-2,46.5
2018-07-3,42.4
2018-07-4,37
2018-07-5,40.7
2018-07-6,27.8
2018-07-7,29.4
2018-07-8,29.4
2018-07-9,37
2018-07-10,25.9
2018-07-11,25.9
2018-07-12,27.8
2018-07-13,22.2
2018-07-14,22.2
2018-07-15,29.4
2018-07-16,24.1
2018-07-17,33.5
2018-07-18,24.1
2018-07-19,31.7
2018-07-20,33.5
2018-07-21,27.8
2018-07-22,43.2
2018-07-23,27.8
2018-07-24,33.5
2018-07-25,44.6
2018-07-26,40.7
2018-07-27,35.2
2018-07-28,29.4
2018-07-29,29.4
2018-07-30,29.4
2018-07-31,27.8
2018-07-,31.7
2018-08-1,31.7
2018-08-2,37
