Date,PM2.5
2021-01-1,14.8
2021-01-2,11.1
2021-01-3,7.6
2021-01-4,18.3
2021-01-5,7.6
2021-01-6,7.6
2021-01-7,14.8
2021-01-8,14.8
2021-01-9,29.4
2021-01-10,14.8
2021-01-11,11.1
2021-01-12,11.1
2021-01-13,7.6
2021-01-14,11.1
2021-01-15,11.1
2021-01-16,18.3
2021-01-17,14.8
2021-01-18,11.1
2021-01-19,7.6
2021-01-20,11.1
2021-01-21,22.2
2021-01-22,25.9
2021-01-23,22.2
2021-01-24,11.1
2021-01-25,11.1
2021-01-26,7.6
2021-01-27,7.6
2021-01-28,18.3
2021-01-29,18.3
2021-01-30,14.8
2021-01-31,22.2
2021-01-,14.1
2021-02-1,11.1
2021-02-2,14.8
2021-02-3,14.8
2021-02-4,14.8
2021-02-5,14.8
2021-02-6,11.1
2021-02-7,14.8
2021-02-8,11.1
2021-02-9,14.8
2021-02-10,22.2
2021-02-11,-
2021-02-12,-
2021-02-13,11.1
2021-02-14,18.3
2021-02-15,18.3
2021-02-16,18.3
2021-02-17,14.8
2021-02-18,14.8
2021-02-19,-
2021-02-20,-
2021-02-21,10.7
2021-02-22,11.1
2021-02-23,22.2
2021-02-24,25.9
2021-02-25,18.3
2021-02-26,22.2
2021-02-27,14.8
2021-02-28,22.2
2021-02-,16.1
2021-03-1,14.8
2021-03-2,18.3
2021-03-3,18.3
2021-03-4,18.3
2021-03-5,18.3
2021-03-6,22.2
2021-03-7,22.2
2021-03-8,22.2
2021-03-9,18.3
2021-03-10,22.2
2021-03-11,14.8
2021-03-12,7.6
2021-03-13,25.9
2021-03-14,22.2
2021-03-15,18.3
2021-03-16,18.3
2021-03-17,18.3
2021-03-18,25.6
2021-03-19,18.3
2021-03-20,18.3
2021-03-21,22.2
2021-03-22,25.9
2021-03-23,14.8
2021-03-24,14.8
2021-03-25,11.1
2021-03-26,22.2
2021-03-27,22.2
2021-03-28,22.2
2021-03-29,18.3
2021-03-30,18.3
2021-03-31,37
2021-03-,19.7
2021-04-1,14.8
2021-04-2,14.8
2021-04-3,14.8
2021-04-4,18.3
2021-04-5,25.9
2021-04-6,25.9
2021-04-7,14.8
2021-04-8,22.2
2021-04-9,14.8
2021-04-10,11.1
2021-04-11,18.3
2021-04-12,14.8
2021-04-13,18.3
2021-04-14,22.2
2021-04-15,22.2
2021-04-16,14.8
2021-04-17,14.8
2021-04-18,14.8
2021-04-19,18.3
2021-04-20,29.4
2021-04-21,14.8
2021-04-22,18.3
2021-04-23,22.2
2021-04-24,14.8
2021-04-25,18.3
2021-04-26,14.8
2021-04-27,18.3
2021-04-28,11.1
2021-04-29,14.8
2021-04-30,18.3
2021-04-,17.7
2021-05-1,25.9
2021-05-2,18.3
2021-05-3,14.8
2021-05-4,18.3
2021-05-5,29.4
2021-05-6,18.3
2021-05-7,14.8
2021-05-8,18.3
2021-05-9,25.9
2021-05-10,29.4
2021-05-11,33.5
2021-05-12,33.5
2021-05-13,29.4
2021-05-14,18.3
2021-05-15,18.3
2021-05-16,44.6
2021-05-17,29.4
2021-05-18,55.4
2021-05-19,18.3
2021-05-20,14.8
2021-05-21,25.9
2021-05-22,18.3
2021-05-23,14.8
2021-05-24,22.2
2021-05-25,29.4
2021-05-26,22.2
2021-05-27,22.2
2021-05-28,18.3
2021-05-29,18.3
2021-05-30,25.9
2021-05-31,25.9
2021-05-,24.3
2021-06-1,25.9
2021-06-2,22.2
2021-06-3,22.2
2021-06-4,18.3
2021-06-5,22.2
2021-06-6,22.2
2021-06-7,25.9
2021-06-8,29.4
2021-06-9,37
2021-06-10,25.9
2021-06-11,-
2021-06-12,33.5
2021-06-13,29.4
2021-06-14,25.9
2021-06-15,25.9
2021-06-16,14.8
2021-06-17,18.3
2021-06-18,14.8
2021-06-19,25.9
2021-06-20,25.6
2021-06-21,33.5
2021-06-22,29.4
2021-06-23,25.9
2021-06-24,29.4
2021-06-25,29.4
2021-06-26,25.9
2021-06-27,25.9
2021-06-28,25.9
2021-06-29,22.2
2021-06-30,25.9
2021-06-,25.5
2021-07-1,31.3
2021-07-2,22.2
2021-07-3,29.4
2021-07-4,29.4
2021-07-5,25.6
2021-07-6,29.4
2021-07-7,29.4
2021-07-8,25.9
2021-07-9,25.9
2021-07-10,18.3
2021-07-11,18.3
2021-07-12,10.7
2021-07-13,21.9
2021-07-14,18.3
2021-07-15,29.4
2021-07-16,22.2
2021-07-17,22.2
2021-07-18,33.5
2021-07-19,29.4
2021-07-20,37
2021-07-21,29.4
2021-07-22,22.2
2021-07-23,22.2
2021-07-24,22.2
2021-07-25,25.9
2021-07-26,25.9
2021-07-27,29.4
2021-07-28,29.4
2021-07-29,25.9
2021-07-30,33.2
2021-07-31,29.4
2021-07-,26
2021-08-1,25.9
2021-08-2,21.9
2021-08-3,25.9
2021-08-4,22.2
2021-08-5,22.2
2021-08-6,18.3
2021-08-7,18.3
2021-08-8,22.2
2021-08-9,22.2
2021-08-10,25.9
2021-08-11,22.2
2021-08-12,22.2
2021-08-13,25.9
2021-08-14,22.2
2021-08-15,22.2
2021-08-16,22.2
2021-08-17,18.3
2021-08-18,21.9
2021-08-19,22.2
2021-08-20,22.2
2021-08-21,22.2
2021-08-22,18.3
2021-08-23,22.2
2021-08-24,29.4
2021-08-25,29.4
2021-08-26,25.9
2021-08-27,25.9
2021-08-28,22.2
